image_id,x,y,class_id,confidence
S1,0.00,1980.00,0,0.3250
S1,0.00,1829.00,0,0.3250
S1,0.00,1770.00,0,0.3249
S1,0.00,125.00,0,0.3249
S1,0.00,63.00,0,0.3248
S1,0.00,1285.00,0,0.3248
S1,0.00,1745.00,0,0.3248
S1,0.00,2027.00,0,0.3247
S1,0.00,1175.00,0,0.3246
S1,0.00,1255.00,0,0.3246
S1,0.00,597.00,0,0.3246
S1,0.00,1822.00,0,0.3246
S1,0.00,953.00,0,0.3246
S1,0.00,1801.00,0,0.3245
S1,0.00,1840.00,0,0.3245
S1,0.00,1273.00,0,0.3245
S1,0.00,1351.00,0,0.3245
S1,768.00,1279.00,0,0.3245
S1,0.00,851.00,0,0.3245
S1,0.00,1123.00,0,0.3244
S1,0.00,1239.00,0,0.3244
S1,0.00,359.00,0,0.3244
S1,0.00,1061.00,0,0.3244
S1,0.00,805.00,0,0.3244
S1,0.00,547.00,0,0.3244
S1,0.00,1714.00,0,0.3242
S1,0.00,875.00,0,0.3242
S1,0.00,1187.00,0,0.3241
S1,0.00,979.00,0,0.3241
S1,0.00,1784.00,0,0.3241
S1,0.00,25.00,0,0.3240
S1,0.00,1145.00,0,0.3240
S1,0.00,817.00,0,0.3239
S1,0.00,561.00,0,0.3239
S1,0.00,659.00,0,0.3238
S1,0.00,1585.00,0,0.3238
S1,0.00,1865.00,0,0.3238
S1,0.00,1708.00,0,0.3238
S1,0.00,1894.00,0,0.3238
S1,0.00,55.00,0,0.3238
S1,0.00,1455.00,0,0.3237
S1,0.00,1651.00,0,0.3237
S1,384.00,1279.00,0,0.3237
S1,0.00,959.00,0,0.3237
S1,0.00,1949.00,0,0.3237
S1,0.00,503.00,0,0.3237
S1,0.00,1193.00,0,0.3236
S1,384.00,511.00,0,0.3236
S1,0.00,335.00,0,0.3235
S1,0.00,925.00,0,0.3235
S1,0.00,1437.00,0,0.3235
S1,0.00,1205.00,0,0.3234
S1,0.00,1635.00,0,0.3234
S1,0.00,1219.00,0,0.3234
S1,0.00,1165.00,0,0.3234
S1,0.00,1807.00,0,0.3234
S1,0.00,521.00,0,0.3234
S1,0.00,1049.00,0,0.3234
S1,0.00,1383.00,0,0.3234
S1,0.00,707.00,0,0.3233
S1,0.00,1055.00,0,0.3233
S1,0.00,2007.00,0,0.3233
S1,0.00,793.00,0,0.3232
S1,0.00,469.00,0,0.3231
S1,0.00,1181.00,0,0.3231
S1,0.00,1969.00,0,0.3231
S1,0.00,761.00,0,0.3231
S1,0.00,1029.00,0,0.3230
S1,0.00,967.00,0,0.3229
S1,0.00,375.00,0,0.3229
S1,0.00,1415.00,0,0.3229
S1,0.00,673.00,0,0.3227
S1,0.00,1529.00,0,0.3226
S1,0.00,1039.00,0,0.3225
S1,0.00,539.00,0,0.3225
S1,0.00,1794.00,0,0.3225
S1,0.00,1757.00,0,0.3224
S1,0.00,485.00,0,0.3223
S1,1536.00,895.00,0,0.3223
S1,0.00,591.00,0,0.3223
S1,0.00,1369.00,0,0.3223
S1,0.00,2041.00,0,0.3222
S1,0.00,811.00,0,0.3222
S1,0.00,1955.00,0,0.3222
S1,0.00,1339.00,0,0.3222
S1,0.00,653.00,0,0.3222
S1,0.00,2108.00,0,0.3222
S1,0.00,329.00,0,0.3221
S1,0.00,1461.00,0,0.3221
S1,0.00,1569.00,0,0.3220
S1,0.00,101.00,0,0.3220
S1,0.00,609.00,0,0.3220
S1,768.00,511.00,0,0.3219
S1,0.00,555.00,0,0.3219
S1,0.00,1023.00,0,0.3219
S1,0.00,2021.00,0,0.3219
S1,0.00,533.00,0,0.3218
S1,0.00,433.00,0,0.3218
S1,0.00,71.00,0,0.3218
S1,0.00,985.00,0,0.3218
S1,0.00,1261.00,0,0.3217
S1,0.00,1225.00,0,0.3216
S1,0.00,1497.00,0,0.3216
S1,0.00,1919.00,0,0.3216
S1,0.00,1725.00,0,0.3216
S1,0.00,1267.00,0,0.3216
S1,0.00,755.00,0,0.3216
S1,0.00,1555.00,0,0.3215
S1,1152.00,2047.00,0,0.3215
S1,0.00,1491.00,0,0.3215
S1,0.00,1943.00,0,0.3215
S1,0.00,365.00,0,0.3214
S1,0.00,1910.00,0,0.3214
S1,0.00,1932.00,0,0.3214
S1,0.00,1872.00,0,0.3213
S1,0.00,451.00,0,0.3213
S1,0.00,693.00,0,0.3212
S1,0.00,247.00,0,0.3212
S1,0.00,445.00,0,0.3212
S1,1152.00,511.00,0,0.3211
S1,0.00,457.00,0,0.3211
S1,0.00,343.00,0,0.3211
S1,0.00,1199.00,0,0.3209
S1,0.00,1888.00,0,0.3209
S1,0.00,2054.00,0,0.3209
S1,0.00,1641.00,0,0.3209
S1,0.00,603.00,0,0.3208
S1,0.00,439.00,0,0.3208
S1,0.00,1961.00,0,0.3208
S1,0.00,1900.00,0,0.3207
S1,0.00,1855.00,0,0.3207
S1,0.00,527.00,0,0.3206
S1,0.00,1621.00,0,0.3206
S1,0.00,863.00,0,0.3206
S1,0.00,687.00,0,0.3206
S1,0.00,701.00,0,0.3206
S1,0.00,2102.00,0,0.3205
S1,0.00,1449.00,0,0.3205
S1,0.00,79.00,0,0.3205
S1,0.00,2062.00,0,0.3205
S1,0.00,2082.00,0,0.3205
S1,0.00,2070.00,0,0.3205
S1,0.00,2094.00,0,0.3205
S1,0.00,2088.00,0,0.3205
S1,0.00,2076.00,0,0.3205
